Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
62.973049,0.317252,0.256748
62.976009,0.317942,0.256833
62.978985,0.318514,0.25715
62.981945,0.318392,0.257057
62.984913,0.317964,0.256635
62.987873,0.317253,0.256157
62.990833,0.317403,0.256098
62.993801,0.31798,0.256589
62.996761,0.318205,0.256639
62.999722,0.317852,0.25627
63.002689,0.317301,0.255909
63.005657,0.316634,0.255989
63.008625,0.316657,0.256527
63.011578,0.317058,0.256844
63.014545,0.31715,0.257139
63.017513,0.316662,0.257359
63.020473,0.315852,0.258233
63.023434,0.315482,0.258748
63.026402,0.315788,0.258697
63.029362,0.315929,0.258027
63.03233,0.316095,0.257625
63.03529,0.315651,0.257532
63.03825,0.315238,0.256932
63.041218,0.315035,0.256095
63.044186,0.315321,0.255622
63.047138,0.315732,0.256074
63.050106,0.315937,0.256459
63.053074,0.315774,0.256051
63.056042,0.315934,0.255656
63.058994,0.315955,0.255872
63.061962,0.316397,0.256711
63.06493,0.31679,0.256746
63.067875,0.317111,0.256334
63.070858,0.317203,0.256456
63.073818,0.317038,0.256803
63.076778,0.317135,0.256973
63.079746,0.317659,0.256722
63.082706,0.318131,0.256954
63.085667,0.318024,0.257231
63.088619,0.317536,0.257035
63.091602,0.317643,0.256743
63.09457,0.318421,0.257055
63.097523,0.318445,0.2574
63.100491,0.317835,0.257038
63.103458,0.317448,0.256538
63.106411,0.318056,0.256929
63.109371,0.31848,0.257352
63.112347,0.317701,0.256908
63.115307,0.316872,0.256481
63.118275,0.317613,0.257076
63.121235,0.318198,0.257394
63.124195,0.317682,0.256946
63.127163,0.316771,0.256797
63.130108,0.317113,0.257335
63.133083,0.317759,0.25748
63.136051,0.317717,0.257349
63.139019,0.316919,0.257658
63.141987,0.31709,0.258065
63.144939,0.317735,0.258072
63.147907,0.318027,0.258379
63.15086,0.317812,0.259113
63.153835,0.317893,0.259216
63.156796,0.318282,0.259184
63.159763,0.318754,0.259979
63.162724,0.319164,0.260771
63.165691,0.319345,0.260679
63.168652,0.319307,0.260612
63.171612,0.31991,0.261768
63.17458,0.320591,0.262174
63.177547,0.320787,0.261786
63.1805,0.320488,0.262076
63.183468,0.320985,0.263108
63.186436,0.321724,0.263006
63.189388,0.321744,0.262872
63.192356,0.321347,0.263453
63.195324,0.321543,0.263899
63.198292,0.32243,0.26366
63.201244,0.322244,0.264022
63.204212,0.321741,0.264298
63.20718,0.322087,0.264387
63.21014,0.322752,0.264296
63.2131,0.322445,0.264982
63.216068,0.32172,0.264892
63.219028,0.322239,0.264772
63.221981,0.32292,0.265434
63.224964,0.322647,0.265985
63.227917,0.321725,0.265595
63.230885,0.32237,0.265721
63.233852,0.322982,0.26663
63.23682,0.322688,0.266951
63.239773,0.321922,0.266656
63.242718,0.322611,0.267253
63.245708,0.323405,0.268154
63.248669,0.32318,0.268315
63.251629,0.322943,0.268343
63.254597,0.323359,0.269193
63.257557,0.324165,0.269983
63.260525,0.324424,0.270198
63.26347,0.324666,0.270819
63.266445,0.324923,0.271546
63.269413,0.325406,0.272006
63.272381,0.326042,0.272417
63.275333,0.326727,0.273331
63.278301,0.326815,0.273669
63.281269,0.326789,0.273783
63.284222,0.327161,0.274243
63.287189,0.328346,0.275302
63.290157,0.328351,0.275339
63.293125,0.328004,0.275246
63.296085,0.328152,0.275989
63.299046,0.329204,0.276854
63.302013,0.329569,0.276893
63.304974,0.329028,0.276707
63.307941,0.328856,0.277385
63.310909,0.329488,0.278099
63.313862,0.330112,0.278194
63.31683,0.329726,0.278102
63.319798,0.329329,0.278706
63.32275,0.329548,0.279209
63.325718,0.330283,0.27929
63.328686,0.330394,0.279407
63.331654,0.330002,0.280168
63.334606,0.32962,0.280552
63.337574,0.330157,0.280659
63.340542,0.330786,0.280962
63.343502,0.331023,0.281976
63.346462,0.330643,0.282664
63.34943,0.330565,0.282699
63.35239,0.331227,0.282955
63.355343,0.332091,0.284112
63.358326,0.332562,0.285298
63.361279,0.332552,0.285626
63.364246,0.332596,0.285689
63.367214,0.333185,0.286425
63.370167,0.333884,0.287559
63.373135,0.33456,0.288393
63.37608,0.334843,0.288642
63.37907,0.335211,0.288978
63.382023,0.335608,0.289767
63.384991,0.33594,0.290518
63.387959,0.336252,0.291009
63.390919,0.336778,0.291334
63.393887,0.337408,0.291849
63.396832,0.33789,0.29263
63.399807,0.338005,0.293158
63.402775,0.337745,0.293264
63.405735,0.33778,0.293414
63.408695,0.338164,0.294005
63.411663,0.33887,0.294859
63.414631,0.339094,0.295231
63.417583,0.338983,0.295271
63.420551,0.338511,0.295213
63.423519,0.338539,0.295871
63.426487,0.338974,0.296665
63.42944,0.339632,0.297197
63.432407,0.339991,0.297537
63.435375,0.33967,0.297651
63.438328,0.339216,0.29806
63.441303,0.339081,0.298826
63.444263,0.339594,0.299442
63.447224,0.340239,0.299939
63.450191,0.341086,0.300417
63.453152,0.341236,0.3012
63.456112,0.341167,0.302124
63.45908,0.340966,0.302759
63.462048,0.341188,0.303184
63.465015,0.342032,0.303576
63.467968,0.343184,0.304591
63.470936,0.343845,0.3058
63.473904,0.344302,0.306731
63.476864,0.344346,0.307301
63.479824,0.34456,0.30744
63.482792,0.344957,0.307829
63.485752,0.345771,0.3088
63.488712,0.346423,0.309917
63.49168,0.346859,0.310524
63.49464,0.346929,0.310696
63.497608,0.347046,0.310819
63.500576,0.34745,0.311475
63.503529,0.347759,0.312217
63.506496,0.348028,0.312751
63.509441,0.348306,0.313058
63.512432,0.348323,0.313202
63.515385,0.348617,0.313792
63.518353,0.348763,0.314464
63.52132,0.349026,0.31508
63.524281,0.348854,0.315098
63.527241,0.348779,0.315159
63.530186,0.348898,0.315772
63.533169,0.349417,0.316581
63.536137,0.349919,0.317342
63.539097,0.34979,0.31741
63.542057,0.349282,0.317458
63.545025,0.349199,0.31802
63.547993,0.349466,0.319002
63.550938,0.350497,0.320006
63.553913,0.351203,0.32038
63.556881,0.351324,0.320807
63.559849,0.350993,0.321498
63.562801,0.351005,0.322397
63.565769,0.351477,0.323215
63.568737,0.352876,0.323875
63.57169,0.353579,0.324459
63.574657,0.353844,0.325456
63.577625,0.353682,0.326308
63.580585,0.353829,0.326813
63.583553,0.354835,0.327109
63.586514,0.355801,0.328037
63.589474,0.356262,0.329105
63.592442,0.356063,0.329452
63.595409,0.356066,0.329674
63.598362,0.356709,0.329896
63.60133,0.357494,0.330907
63.604298,0.357794,0.331636
63.607265,0.357423,0.331669
63.610218,0.357401,0.33168
63.613186,0.357827,0.332287
63.616154,0.358394,0.333116
63.619114,0.358547,0.333459
63.622066,0.358268,0.333418
63.625042,0.358298,0.333769
63.628002,0.3585,0.334541
63.63097,0.358505,0.334767
63.633938,0.358588,0.334854
63.63689,0.358825,0.335499
63.639858,0.359199,0.336321
63.642803,0.358699,0.336453
63.645779,0.358598,0.336526
63.648746,0.359376,0.337481
63.651714,0.360055,0.338512
63.654682,0.360034,0.338828
63.657642,0.359338,0.338806
63.660603,0.36011,0.340031
63.663548,0.361141,0.341118
63.666531,0.361579,0.341425
63.669491,0.361145,0.3415
63.672459,0.361402,0.342787
63.675419,0.362689,0.343772
63.678387,0.363332,0.34399
63.681355,0.363139,0.344516
63.684299,0.362992,0.34542
63.687275,0.364191,0.346045
63.690243,0.364876,0.346358
63.693195,0.364802,0.3471
63.696163,0.364616,0.347626
63.699131,0.365332,0.347728
63.702099,0.366089,0.348267
63.705051,0.365869,0.348997
63.708019,0.365684,0.349022
63.710987,0.36617,0.348983
63.713947,0.366772,0.349733
63.716915,0.36644,0.350352
63.719875,0.36621,0.350142
63.722836,0.366573,0.350337
63.725803,0.366971,0.351314
63.728771,0.366842,0.351526
63.731724,0.366588,0.351255
63.734692,0.366619,0.351807
63.737659,0.366737,0.35236
63.740627,0.366839,0.352504
63.74358,0.366988,0.352663
63.746548,0.366718,0.353459
63.749516,0.366835,0.353741
63.752468,0.367374,0.354031
63.755436,0.367893,0.354941
63.758404,0.367529,0.355528
63.761364,0.36743,0.355583
63.764332,0.368542,0.356446
63.767292,0.369116,0.357487
63.770252,0.368639,0.357657
63.77322,0.368481,0.357746
63.776165,0.370099,0.359154
63.77914,0.370647,0.359796
63.782108,0.370094,0.359675
63.785076,0.370199,0.360153
63.788044,0.371563,0.36139
63.790997,0.372048,0.361622
63.793964,0.371371,0.361373
63.796909,0.371762,0.362181
63.799892,0.372772,0.362879
63.802853,0.37299,0.36281
