Timestamp,Instrument Wavelength,Instrument Intensity
5.856, 384229.2727, 0.157, 
5.866, 384229.2855, 0.151, 
5.876, 384229.2924, 0.147, 
5.886, 384229.3059, 0.151, 
5.896, 384229.3128, 0.154, 
5.906, 384229.3237, 0.156, 
5.916, 384229.3315, 0.152, 
5.926, 384229.3425, 0.147, 
5.936, 384229.3515, 0.149, 
5.946, 384229.3623, 0.154, 
5.957, 384229.3698, 0.154, 
5.966, 384229.3828, 0.150, 
5.976, 384229.3907, 0.147, 
5.986, 384229.4024, 0.148, 
5.996, 384229.4101, 0.151, 
6.006, 384229.4215, 0.153, 
6.016, 384229.4294, 0.151, 
6.026, 384229.4414, 0.146, 
6.036, 384229.4485, 0.146, 
6.046, 384229.4615, 0.150, 
6.056, 384229.4686, 0.152, 
6.066, 384229.4815, 0.151, 
6.076, 384229.4894, 0.147, 
6.086, 384229.5006, 0.146, 
6.096, 384229.5083, 0.149, 
6.106, 384229.5193, 0.152, 
6.116, 384229.5288, 0.152, 
6.126, 384229.5407, 0.146, 
6.136, 384229.5475, 0.145, 
6.145, 384229.5550, 0.146, 
6.156, 384229.5660, 0.150, 
6.166, 384229.5792, 0.150, 
6.176, 384229.5882, 0.147, 
6.186, 384229.5970, 0.144, 
6.196, 384229.6072, 0.147, 
6.206, 384229.6165, 0.150, 
6.216, 384229.6277, 0.150, 
6.226, 384229.6376, 0.146, 
6.236, 384229.6462, 0.144, 
6.246, 384229.6575, 0.146, 
6.255, 384229.6651, 0.149, 
6.266, 384229.6739, 0.151, 
6.276, 384229.6850, 0.147, 
6.286, 384229.6940, 0.143, 
6.296, 384229.7046, 0.145, 
6.306, 384229.7166, 0.148, 
6.316, 384229.7242, 0.149, 
6.325, 384229.7187, 0.149, 
6.336, 384229.7087, 0.146, 
6.346, 384229.7007, 0.144, 
6.357, 384229.6907, 0.145, 
6.366, 384229.6834, 0.147, 
6.376, 384229.6731, 0.151, 
6.386, 384229.6656, 0.149, 
6.396, 384229.6541, 0.145, 
6.406, 384229.6466, 0.144, 
6.416, 384229.6360, 0.147, 
6.426, 384229.6286, 0.150, 
6.436, 384229.6166, 0.150, 
6.446, 384229.6093, 0.148, 
6.459, 384229.5960, 0.144, 
6.466, 384229.5917, 0.145, 
6.476, 384229.5804, 0.150, 
6.486, 384229.5724, 0.152, 
6.496, 384229.5618, 0.149, 
6.507, 384229.5533, 0.147, 
6.516, 384229.5459, 0.145, 
6.526, 384229.5356, 0.149, 
6.536, 384229.5226, 0.153, 
6.546, 384229.5160, 0.152, 
6.556, 384229.5040, 0.148, 
6.566, 384229.4966, 0.145, 
6.576, 384229.4857, 0.148, 
6.587, 384229.4772, 0.152, 
6.596, 384229.4657, 0.152, 
6.606, 384229.4581, 0.150, 
6.616, 384229.4464, 0.146, 
6.626, 384229.4389, 0.147, 
6.636, 384229.4319, 0.150, 
6.646, 384229.4203, 0.154, 
6.656, 384229.4089, 0.151, 
6.665, 384229.4010, 0.147, 
6.676, 384229.3884, 0.147, 
6.686, 384229.3814, 0.151, 
6.696, 384229.3709, 0.155, 
6.706, 384229.3632, 0.153, 
6.716, 384229.3561, 0.150, 
6.726, 384229.3422, 0.146, 
6.736, 384229.3351, 0.149, 
6.746, 384229.3240, 0.155, 
6.756, 384229.3148, 0.155, 
6.766, 384229.3063, 0.150, 
6.776, 384229.2933, 0.146, 
6.786, 384229.2847, 0.150, 
6.796, 384229.2741, 0.157, 
6.806, 384229.2678, 0.158, 
6.816, 384229.2543, 0.152, 
6.826, 384229.2455, 0.148, 
6.836, 384229.2347, 0.151, 
6.846, 384229.2278, 0.156, 
6.856, 384229.2194, 0.159, 
6.867, 384229.2086, 0.156, 
6.876, 384229.1992, 0.150, 
6.886, 384229.1875, 0.150, 
6.896, 384229.1813, 0.155, 
6.906, 384229.1695, 0.160, 
6.916, 384229.1623, 0.158, 
6.926, 384229.1498, 0.152, 
6.936, 384229.1379, 0.152, 
6.946, 384229.1307, 0.157, 
6.956, 384229.1198, 0.161, 
6.966, 384229.1124, 0.159, 
6.976, 384229.1040, 0.154, 
6.986, 384229.0903, 0.151, 
6.996, 384229.0835, 0.156, 
7.006, 384229.0728, 0.161, 
