"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
64.356789;0.201154;0.148030;
64.360489;0.200056;0.148121;
64.364182;0.203109;0.148115;
64.367867;0.206352;0.148251;
64.371544;0.204797;0.148373;
64.375259;0.207225;0.148321;
64.378952;0.209659;0.148363;
64.382645;0.207322;0.148609;
64.386330;0.210559;0.148876;
64.390022;0.213346;0.148958;
64.393723;0.212075;0.149276;
64.397415;0.216032;0.149807;
64.401108;0.219205;0.150369;
64.404793;0.217782;0.150890;
64.408470;0.220733;0.151545;
64.412186;0.222574;0.152291;
64.415878;0.219626;0.153128;
64.419571;0.222144;0.154025;
64.423271;0.223398;0.154736;
64.426956;0.220874;0.155557;
64.430649;0.224536;0.156411;
64.434341;0.226311;0.157154;
64.438042;0.224424;0.157779;
64.441719;0.227563;0.158351;
64.445412;0.228693;0.158871;
64.449112;0.225455;0.159343;
64.452805;0.227625;0.159742;
64.456505;0.227592;0.160080;
64.460197;0.223998;0.160340;
64.463882;0.227031;0.160579;
64.467575;0.227432;0.160950;
64.471268;0.225331;0.161140;
64.474968;0.228788;0.161486;
64.478645;0.229300;0.161645;
64.482338;0.226479;0.161944;
64.486046;0.229054;0.162427;
64.489738;0.228310;0.162834;
64.493431;0.224676;0.163247;
64.497124;0.227312;0.163792;
64.500824;0.226412;0.164503;
64.504509;0.223899;0.165193;
64.508202;0.227510;0.165995;
64.511894;0.227497;0.166886;
64.515572;0.225640;0.167884;
64.519272;0.228812;0.168742;
64.522972;0.227768;0.169519;
64.526665;0.224624;0.170436;
64.530357;0.227149;0.171598;
64.534050;0.225132;0.172441;
64.537750;0.222749;0.173117;
64.541435;0.226180;0.173908;
64.545128;0.224988;0.174549;
64.548820;0.223887;0.175242;
64.552498;0.227542;0.175838;
64.556213;0.226137;0.176374;
64.559898;0.224400;0.176802;
64.563591;0.226976;0.177110;
64.567291;0.224256;0.177549;
64.570984;0.222271;0.177988;
64.574677;0.225026;0.178355;
64.578362;0.222589;0.178690;
64.582062;0.222170;0.178900;
64.585754;0.225681;0.179266;
64.589424;0.223831;0.179670;
64.593140;0.223602;0.180177;
64.596825;0.226471;0.180664;
64.600525;0.223359;0.181168;
64.604218;0.222261;0.181731;
64.607910;0.224220;0.182515;
64.611603;0.220770;0.183266;
64.615288;0.221037;0.184074;
64.618988;0.223748;0.184839;
64.622681;0.221307;0.185832;
64.626350;0.222437;0.186860;
64.630066;0.225010;0.187794;
64.633766;0.221880;0.188617;
64.637451;0.222420;0.189512;
64.641144;0.223747;0.190289;
64.644844;0.219607;0.191058;
64.648537;0.220629;0.191716;
64.652229;0.221928;0.192341;
64.655914;0.218791;0.192870;
64.659607;0.221185;0.193321;
64.663292;0.222941;0.193662;
64.667000;0.220156;0.193985;
64.670692;0.222491;0.194211;
64.674377;0.222890;0.194433;
64.678070;0.218839;0.194590;
64.681770;0.220664;0.194802;
64.685463;0.220266;0.195051;
64.689156;0.217106;0.195223;
64.692841;0.220177;0.195384;
64.696533;0.220283;0.195596;
64.700226;0.218124;0.196073;
64.703926;0.221550;0.196683;
64.707619;0.220959;0.197102;
64.711304;0.218088;0.197640;
64.715004;0.220626;0.198474;
64.718697;0.218586;0.199314;
64.722389;0.215788;0.200209;
64.726089;0.218684;0.201286;
64.729782;0.216927;0.202282;
64.733459;0.215746;0.203062;
64.737152;0.219356;0.204029;
64.740852;0.217534;0.204919;
64.744553;0.216215;0.205671;
64.748245;0.218848;0.206362;
64.751930;0.215423;0.206987;
64.755623;0.213871;0.207476;
64.759315;0.215769;0.207877;
64.763016;0.211921;0.208246;
64.766708;0.211967;0.208435;
64.770386;0.214533;0.208695;
64.774078;0.211458;0.208913;
64.777786;0.212058;0.209073;
64.781479;0.213794;0.209142;
64.785172;0.209442;0.209250;
64.788872;0.209670;0.209449;
64.792549;0.209944;0.209738;
64.796249;0.205188;0.210012;
64.799942;0.206404;0.210423;
64.803635;0.206703;0.210866;
64.807312;0.203243;0.211500;
64.811020;0.205653;0.212238;
64.814713;0.206034;0.213062;
64.818405;0.202369;0.213944;
64.822098;0.204365;0.214861;
64.825798;0.203453;0.216002;
64.829483;0.199424;0.216953;
64.833176;0.201623;0.217962;
64.836868;0.200634;0.218922;
64.840569;0.198498;0.219722;
64.844238;0.202270;0.220391;
64.847946;0.201888;0.221276;
64.851639;0.200409;0.221965;
64.855331;0.204074;0.222417;
64.859032;0.202296;0.222793;
64.862724;0.200770;0.223298;
64.866409;0.203280;0.223623;
64.870110;0.200691;0.223959;
64.873802;0.199399;0.224125;
64.877495;0.202136;0.224296;
64.881165;0.199833;0.224472;
64.884872;0.200284;0.224688;
64.888573;0.203790;0.224858;
64.892265;0.201066;0.225147;
64.895958;0.201226;0.225315;
64.899651;0.203232;0.225643;
64.903336;0.199740;0.226066;
64.907036;0.200791;0.226539;
64.910728;0.202648;0.227025;
64.914421;0.199925;0.227692;
64.918091;0.202774;0.228514;
64.921814;0.205076;0.229249;
64.925499;0.202671;0.229985;
64.929192;0.205647;0.230866;
64.932884;0.206547;0.231782;
64.936577;0.203331;0.232659;
64.940277;0.205859;0.233382;
64.943962;0.205569;0.234011;
64.947655;0.203010;0.234816;
64.951355;0.206608;0.235386;
64.955025;0.206641;0.235849;
64.958740;0.205203;0.236259;
64.962425;0.209174;0.236614;
64.966118;0.208317;0.236874;
64.969818;0.206535;0.236977;
64.973511;0.209409;0.237074;
64.977203;0.206835;0.237156;
64.980888;0.205397;0.237136;
64.984589;0.208412;0.237096;
64.988274;0.206001;0.236944;
64.991966;0.206186;0.236846;
64.995667;0.209844;0.236928;
64.999352;0.207350;0.236903;
65.003052;0.207976;0.236853;
65.006744;0.210155;0.236997;
65.010437;0.206438;0.237274;
65.014130;0.207126;0.237611;
65.017815;0.208092;0.237924;
65.021515;0.204405;0.238467;
65.025200;0.206779;0.239040;
65.028893;0.208174;0.239716;
65.032600;0.205412;0.240394;
65.036293;0.208517;0.241039;
65.039978;0.208741;0.241783;
65.043671;0.205523;0.242397;
65.047363;0.208147;0.242948;
65.051064;0.206681;0.243483;
65.054756;0.203707;0.243776;
65.058441;0.206838;0.244130;
65.062126;0.205378;0.244348;
65.065826;0.204163;0.244436;
65.069527;0.207994;0.244367;
65.073219;0.206110;0.244382;
