"Time (ms)";"Fine In 2 (V)";
69.569054;0.000490;
69.666901;0.000476;
69.764748;0.000503;
69.862595;0.000496;
69.960442;0.000525;
70.058289;0.000495;
70.156136;0.000501;
70.253983;0.000509;
70.351830;0.000501;
70.449677;0.000485;
70.547523;0.000496;
70.645370;0.000495;
70.743217;0.000481;
70.841064;0.000457;
70.938911;0.000457;
71.036758;0.000409;
71.134605;0.000363;
71.232452;-0.000016;
71.330299;-0.000441;
71.428146;-0.000989;
71.525993;-0.003511;
71.623840;-0.000403;
71.721687;0.000460;
71.819534;0.000511;
71.917381;0.000489;
72.015228;0.000491;
72.113075;0.000494;
72.210922;0.000484;
72.308769;0.000482;
72.406616;0.000493;
72.504463;0.000485;
72.602310;0.000496;
72.700157;0.000488;
72.798004;0.000511;
72.895851;0.000490;
72.993698;0.000493;
73.091545;0.000500;
73.189392;0.000500;
73.287239;0.000500;
73.385086;0.000492;
73.482933;0.000490;
73.580780;0.000483;
73.678627;0.000481;
73.776474;0.000477;
73.874321;0.000473;
73.972168;0.000449;
74.070015;0.000376;
74.167862;0.000382;
74.265709;-0.000061;
74.363556;-0.000214;
74.461403;0.000046;
74.559250;0.000377;
74.657097;0.000395;
74.754944;0.000443;
74.852791;0.000464;
74.950638;0.000472;
75.048485;0.000502;
75.146332;0.000520;
75.244179;0.000494;
75.342026;0.000483;
75.439873;0.000510;
75.537720;0.000508;
75.635567;0.000481;
75.733414;0.000491;
75.831261;0.000485;
75.929108;0.000499;
76.026955;0.000490;
76.124802;0.000483;
76.222649;0.000481;
76.320496;0.000499;
76.418343;0.000491;
76.516190;0.000512;
76.614037;0.000496;
76.711884;0.000515;
76.809731;0.000486;
76.907578;0.000502;
77.005424;0.000524;
77.103271;0.000465;
77.201118;0.000480;
77.298965;0.000486;
77.396812;0.000029;
77.494659;-0.003896;
77.592506;-0.001350;
77.690353;-0.000620;
77.788200;-0.000044;
77.886047;0.000378;
77.983894;0.000388;
78.081741;0.000420;
78.179588;0.000487;
78.277435;0.000475;
78.375282;0.000502;
78.473129;0.000470;
78.570976;0.000495;
78.668823;0.000488;
78.766670;0.000505;
78.864517;0.000505;
78.962364;0.000508;
79.060211;0.000490;
79.158058;0.000494;
79.255905;0.000497;
79.353752;0.000502;
79.451599;0.000493;
79.549446;0.000491;
79.647293;0.000496;
79.745140;0.000488;
79.842987;0.000489;
79.940834;0.000522;
80.038681;0.000504;
80.136528;0.000472;
80.234375;0.000490;
80.332222;0.000500;
80.430069;0.000475;
80.527916;0.000346;
80.625763;-0.004406;
80.723610;-0.001356;
80.821457;-0.000606;
80.919304;0.000029;
81.017151;0.000393;
81.114998;0.000401;
81.212845;0.000458;
81.310692;0.000476;
81.408539;0.000455;
81.506386;0.000480;
81.604233;0.000499;
81.702080;0.000488;
81.799927;0.000483;
81.897774;0.000479;
81.995621;0.000500;
82.093468;0.000501;
82.191315;0.000501;
82.289162;0.000501;
82.387009;0.000484;
82.484856;0.000500;
82.582703;0.000498;
82.680550;0.000516;
82.778397;0.000498;
82.876244;0.000499;
82.974091;0.000491;
83.071938;0.000487;
83.169785;0.000496;
83.267632;0.000478;
83.365479;0.000492;
83.463326;0.000451;
83.561172;-0.009962;
83.659019;-0.002456;
83.756866;-0.000805;
83.854713;-0.000235;
83.952560;0.000178;
84.050407;0.000373;
84.148254;0.000427;
84.246101;0.000439;
84.343948;0.000455;
84.441795;0.000443;
84.539642;0.000391;
84.637489;0.000373;
84.735336;0.000216;
84.833183;-0.000054;
84.931030;-0.000520;
85.028877;-0.001952;
85.126724;-0.004722;
85.224571;0.000015;
85.322418;0.000459;
85.420265;0.000468;
85.518112;0.000488;
85.615959;0.000508;
85.713806;0.000507;
85.811653;0.000493;
85.909500;0.000488;
86.007347;0.000473;
86.105194;0.000493;
86.203041;0.000506;
86.300888;0.000478;
86.398735;0.000492;
86.496582;0.000484;
86.594429;0.000518;
86.692276;0.000518;
86.790123;0.000507;
86.887970;0.000482;
86.985817;0.000498;
87.083664;0.000507;
87.181511;0.000478;
87.279358;0.000505;
87.377205;0.000494;
87.475052;0.000465;
87.572899;0.000475;
87.670746;0.000488;
87.768593;0.000467;
87.866440;0.000424;
87.964287;0.000372;
88.062134;0.000088;
88.159981;-0.000312;
88.257828;-0.000783;
88.355675;-0.002297;
88.453522;-0.010998;
88.551369;0.000450;
88.649216;0.000492;
88.747063;0.000488;
88.844910;0.000510;
88.942757;0.000497;
89.040604;0.000499;
89.138451;0.000482;
89.236298;0.000477;
89.334145;0.000511;
89.431992;0.000510;
89.529839;0.000497;
89.627686;0.000496;
89.725533;0.000497;
89.823380;0.000493;
89.921227;0.000504;
90.019073;0.000505;
90.116920;0.000500;
90.214767;0.000509;
90.312614;0.000487;
90.410461;0.000499;
90.508308;0.000490;
90.606155;0.000498;
90.704002;0.000471;
90.801849;0.000471;
90.899696;0.000449;
90.997543;0.000389;
91.095390;0.000383;
91.193237;-0.000006;
91.291084;-0.000635;
91.388931;-0.001643;
91.486778;-0.004941;
91.584625;0.000311;
91.682472;0.000482;
91.780319;0.000489;
91.878166;0.000498;
91.976013;0.000485;
92.073860;0.000500;
92.171707;0.000515;
92.269554;0.000497;
92.367401;0.000485;
92.465248;0.000482;
92.563095;0.000498;
92.660942;0.000517;
92.758789;0.000482;
92.856636;0.000515;
92.954483;0.000483;
93.052330;0.000499;
93.150177;0.000484;
93.248024;0.000517;
93.345871;0.000489;
93.443718;0.000481;
93.541565;0.000476;
93.639412;0.000505;
93.737259;0.000466;
93.835106;0.000473;
93.932953;0.000439;
94.030800;0.000388;
94.128647;0.000261;
94.226494;-0.000172;
94.324341;-0.000173;
94.422188;0.000068;
94.520035;0.000358;
94.617882;0.000415;
94.715729;0.000438;
94.813576;0.000467;
94.911423;0.000471;
95.009270;0.000489;
95.107117;0.000504;
95.204964;0.000486;
95.302811;0.000496;
95.400658;0.000486;
95.498505;0.000495;
95.596352;0.000512;
95.694199;0.000511;
95.792046;0.000482;
95.889893;0.000498;
95.987740;0.000514;
96.085587;0.000513;
96.183434;0.000516;
96.281281;0.000501;
96.379128;0.000502;
96.476974;0.000489;
96.574821;0.000505;
96.672668;0.000486;
96.770515;0.000507;
96.868362;0.000472;
96.966209;0.000505;
97.064056;0.000489;
97.161903;0.000481;
97.259750;0.000466;
97.357597;-0.013065;
97.455444;-0.002627;
97.553291;-0.000879;
97.651138;-0.000468;
97.748985;-0.000011;
97.846832;0.000340;
97.944679;0.000417;
98.042526;0.000443;
98.140373;0.000484;
98.238220;0.000483;
98.336067;0.000494;
98.433914;0.000511;
98.531761;0.000499;
98.629608;0.000495;
98.727455;0.000491;
98.825302;0.000501;
98.923149;0.000518;
99.020996;0.000507;
99.118843;0.000501;
99.216690;0.000511;
99.314537;0.000511;
99.412384;0.000511;
99.510231;0.000494;
99.608078;0.000515;
99.705925;0.000491;
99.803772;0.000491;
99.901619;0.000493;
