"Piezo Voltage (V)";"Fine In 1 (V)";"Lock-In Out (V)";
57.364750;0.505380;-0.000023;
57.365162;0.505260;-0.000001;
57.365467;0.505184;0.000069;
57.365894;0.504987;0.000033;
57.366230;0.505062;0.000094;
57.366589;0.505032;0.000062;
57.366993;0.504983;0.000098;
57.367298;0.504813;0.000121;
57.367733;0.504838;0.000104;
57.368046;0.504969;0.000167;
57.368450;0.505004;0.000160;
57.368824;0.504792;0.000184;
57.369205;0.504842;0.000164;
57.369549;0.504913;0.000185;
57.369907;0.504977;0.000205;
57.370274;0.504936;0.000246;
57.370655;0.505045;0.000196;
57.371021;0.505130;0.000256;
57.371319;0.505097;0.000287;
57.371700;0.505244;0.000294;
57.372105;0.505292;0.000318;
57.372417;0.505281;0.000348;
57.372776;0.505287;0.000324;
57.373150;0.505338;0.000357;
57.373516;0.505429;0.000358;
57.373936;0.505491;0.000413;
57.374249;0.505465;0.000405;
57.374569;0.505490;0.000429;
57.374973;0.505614;0.000443;
57.375332;0.505591;0.000440;
57.375713;0.505611;0.000471;
57.376057;0.505754;0.000473;
57.376400;0.505784;0.000545;
57.376804;0.505793;0.000522;
57.377193;0.505750;0.000537;
57.377544;0.505928;0.000496;
57.377903;0.505925;0.000574;
57.378269;0.505899;0.000594;
57.378719;0.505997;0.000631;
57.379032;0.506003;0.000633;
57.379375;0.506029;0.000621;
57.379757;0.506166;0.000589;
57.380077;0.506332;0.000654;
57.380482;0.506456;0.000697;
57.380810;0.506480;0.000646;
57.381222;0.506536;0.000688;
57.381550;0.506723;0.000725;
57.381954;0.506912;0.000732;
57.382298;0.507103;0.000742;
57.382610;0.507301;0.000738;
57.382954;0.507516;0.000704;
57.383320;0.507689;0.000711;
57.383709;0.507777;0.000680;
57.384121;0.508020;0.000717;
57.384464;0.508184;0.000683;
57.384823;0.508473;0.000655;
57.385174;0.508708;0.000676;
57.385509;0.509039;0.000672;
57.385921;0.509182;0.000639;
57.386265;0.509298;0.000610;
57.386608;0.509590;0.000568;
57.386990;0.509747;0.000534;
57.387386;0.509736;0.000460;
57.387714;0.509932;0.000449;
57.388142;0.510049;0.000428;
57.388439;0.510129;0.000381;
57.388889;0.510104;0.000295;
57.389240;0.510154;0.000243;
57.389614;0.510094;0.000189;
57.389980;0.509854;0.000092;
57.390324;0.509761;0.000038;
57.390652;0.509619;-0.000050;
57.391048;0.509369;-0.000124;
57.391407;0.509040;-0.000223;
57.391773;0.508794;-0.000322;
57.392071;0.508508;-0.000377;
57.392498;0.507975;-0.000462;
57.392803;0.507684;-0.000597;
57.393215;0.507318;-0.000671;
57.393597;0.506881;-0.000747;
57.393978;0.506608;-0.000821;
57.394329;0.506024;-0.000873;
57.394726;0.505673;-0.000975;
57.395039;0.505274;-0.001060;
57.395344;0.504703;-0.001077;
57.395687;0.504463;-0.001156;
57.396099;0.503919;-0.001235;
57.396481;0.503414;-0.001267;
57.396832;0.503179;-0.001314;
57.397182;0.502780;-0.001409;
57.397526;0.502394;-0.001316;
57.397861;0.501632;-0.001452;
57.398251;0.501262;-0.001537;
57.398670;0.500621;-0.001495;
57.399021;0.500099;-0.001580;
57.399349;0.499673;-0.001629;
57.399746;0.498901;-0.001630;
57.400143;0.498241;-0.001583;
57.400532;0.497807;-0.001682;
57.400837;0.497070;-0.001760;
57.401196;0.496312;-0.001707;
57.401516;0.495634;-0.001652;
57.401981;0.494984;-0.001685;
57.402340;0.494158;-0.001622;
57.402645;0.493529;-0.001812;
57.403019;0.492640;-0.001654;
57.403385;0.492040;-0.001652;
57.403828;0.491257;-0.001743;
57.404125;0.490521;-0.001604;
57.404514;0.489598;-0.001717;
57.404858;0.488602;-0.001609;
57.405231;0.487920;-0.001546;
57.405567;0.487045;-0.001571;
57.405949;0.486208;-0.001505;
57.406330;0.485280;-0.001667;
57.406757;0.484579;-0.001491;
57.406994;0.483672;-0.001559;
57.407375;0.482908;-0.001442;
57.407749;0.482159;-0.001541;
57.408169;0.481368;-0.001458;
57.408581;0.480566;-0.001433;
57.408901;0.479921;-0.001445;
57.409229;0.479130;-0.001381;
57.409603;0.478348;-0.001416;
57.410000;0.477657;-0.001355;
57.410305;0.476915;-0.001331;
57.410709;0.476474;-0.001256;
57.411053;0.475627;-0.001288;
57.411366;0.475069;-0.001301;
57.411785;0.474616;-0.001227;
57.412182;0.474031;-0.001225;
57.412510;0.473386;-0.001230;
57.412815;0.472904;-0.001202;
57.413242;0.472370;-0.001160;
57.413624;0.472007;-0.001133;
