"Piezo Voltage (V)";"Fine In 1 (V)";
78.667671;2.304129;
78.686386;2.306316;
78.705124;2.304183;
78.723816;2.301931;
78.742516;2.303780;
78.761246;2.308927;
78.779938;2.310143;
78.798645;2.306772;
78.817360;2.303602;
78.836067;2.306597;
78.854767;2.310999;
78.873474;2.310431;
78.892189;2.306133;
78.910889;2.304520;
78.929581;2.307556;
78.948311;2.310402;
78.967033;2.310152;
78.985703;2.307071;
79.004448;2.305188;
79.023155;2.307663;
79.041832;2.311648;
79.060547;2.311572;
79.079277;2.307407;
79.097954;2.304517;
79.116676;2.308113;
79.135406;2.311731;
79.154099;2.309444;
79.172798;2.304568;
79.191505;2.303567;
79.210220;2.307519;
79.228920;2.309183;
79.247612;2.306822;
79.266350;2.302814;
79.285042;2.302894;
79.303734;2.305768;
79.322479;2.308082;
79.341179;2.306440;
79.359863;2.302530;
79.378601;2.301559;
79.397308;2.305547;
79.415985;2.307926;
79.434715;2.304479;
79.453415;2.299695;
79.472107;2.300443;
79.490829;2.304514;
79.509537;2.304647;
79.528244;2.300557;
79.546951;2.297240;
79.565666;2.298745;
79.584381;2.301625;
79.603073;2.301950;
79.621788;2.299120;
79.640511;2.295959;
79.659180;2.296755;
79.677895;2.300706;
79.696632;2.301708;
79.715302;2.297208;
79.734016;2.293067;
79.752754;2.295156;
79.771446;2.299558;
79.790146;2.297837;
79.808876;2.292431;
79.827568;2.290021;
79.846275;2.293654;
79.864983;2.295845;
79.883698;2.293708;
79.902397;2.289819;
79.921089;2.288630;
79.939819;2.290812;
79.958527;2.293487;
79.977211;2.292460;
79.995941;2.287926;
80.014664;2.285713;
80.033333;2.289430;
80.052055;2.292195;
80.070786;2.289198;
80.089462;2.283376;
80.108177;2.283001;
80.126907;2.287234;
80.145592;2.287969;
80.164307;2.284163;
80.183014;2.280341;
80.201729;2.281151;
80.220428;2.283742;
80.239136;2.284497;
80.257858;2.282122;
80.276550;2.278329;
80.295242;2.278033;
80.313980;2.281267;
80.332672;2.282622;
80.351364;2.278729;
80.370110;2.274162;
80.388809;2.275538;
80.407494;2.279394;
80.426231;2.278507;
80.444923;2.273414;
80.463615;2.270567;
80.482338;2.273248;
80.501045;2.275259;
80.519745;2.274180;
80.538460;2.270544;
80.557167;2.268429;
80.575882;2.269637;
80.594582;2.271689;
80.613297;2.271628;
80.632011;2.267461;
80.650703;2.263966;
80.669418;2.266571;
80.688141;2.269736;
80.706810;2.267319;
80.725525;2.261932;
80.744263;2.260609;
80.762947;2.264111;
80.781654;2.265169;
80.800385;2.261818;
80.819077;2.257753;
80.837776;2.257330;
80.856506;2.259599;
80.875198;2.260407;
80.893906;2.258710;
80.912598;2.254147;
80.931328;2.252704;
80.950027;2.255053;
80.968719;2.257006;
80.987450;2.253679;
81.006157;2.248376;
81.024841;2.248409;
81.043579;2.251947;
81.062294;2.251244;
81.080963;2.246687;
81.099686;2.243016;
81.118416;2.244464;
81.137093;2.245887;
81.155807;2.244732;
81.174522;2.241236;
81.193230;2.237900;
81.211937;2.237493;
81.230644;2.239143;
81.249359;2.239118;
81.268059;2.234449;
81.286766;2.230117;
81.305489;2.230987;
81.324181;2.233251;
81.342873;2.230515;
81.361610;2.224746;
81.380302;2.221957;
81.398994;2.223713;
81.417740;2.223544;
81.436432;2.220009;
81.455124;2.215718;
81.473862;2.213432;
81.492554;2.213422;
81.511246;2.213397;
81.529968;2.211304;
81.548676;2.205907;
81.567375;2.202177;
81.586090;2.203187;
81.604797;2.204140;
81.623512;2.200020;
81.642212;2.193503;
81.660927;2.191753;
81.679642;2.193589;
81.698318;2.192167;
81.717041;2.187190;
81.735771;2.182454;
81.754440;2.181875;
81.773155;2.182024;
81.791893;2.181287;
81.810585;2.177891;
81.829285;2.173059;
81.848015;2.171885;
81.866707;2.173661;
81.885406;2.173666;
81.904121;2.169312;
81.922829;2.164772;
81.941536;2.166039;
81.960228;2.168802;
81.978958;2.167605;
81.997658;2.163530;
82.016350;2.162562;
82.035088;2.166290;
82.053802;2.168468;
82.072472;2.168867;
82.091202;2.167736;
82.109924;2.168138;
82.128593;2.169683;
82.147316;2.172226;
82.166031;2.172354;
82.184723;2.169160;
82.203438;2.168865;
82.222153;2.173815;
82.240860;2.177988;
82.259567;2.176769;
82.278275;2.172423;
82.296997;2.172694;
82.315689;2.175679;
82.334389;2.173897;
82.353119;2.169068;
82.371811;2.164696;
82.390503;2.164744;
82.409241;2.165759;
82.427933;2.165795;
82.446625;2.163555;
82.465370;2.160548;
82.484062;2.161280;
82.502754;2.164512;
82.521492;2.165302;
82.540184;2.162126;
82.558884;2.159598;
82.577599;2.162447;
82.596306;2.165695;
82.615005;2.164803;
82.633720;2.161599;
82.652428;2.161294;
82.671150;2.164605;
82.689827;2.166161;
82.708557;2.165689;
82.727272;2.163929;
82.745949;2.164020;
82.764656;2.166741;
82.783401;2.169399;
82.802071;2.169142;
82.820793;2.166917;
82.839523;2.167039;
82.858215;2.171142;
82.876915;2.173482;
82.895645;2.171365;
82.914337;2.168788;
82.933037;2.170778;
82.951744;2.174463;
82.970459;2.174573;
82.989166;2.172277;
83.007858;2.170672;
83.026588;2.173090;
83.045288;2.175139;
83.063980;2.175670;
83.082718;2.173791;
83.101433;2.172305;
83.120102;2.174216;
83.138832;2.176789;
83.157532;2.176955;
83.176224;2.174029;
83.194946;2.172623;
83.213661;2.175308;
83.232353;2.177407;
83.251068;2.175749;
83.269783;2.172442;
83.288490;2.172092;
83.307198;2.174900;
83.325905;2.175463;
83.344627;2.173958;
83.363319;2.171442;
83.382011;2.171634;
83.400749;2.173290;
83.419426;2.174176;
83.438133;2.172710;
83.456871;2.169764;
83.475563;2.169718;
83.494255;2.172174;
83.513000;2.172753;
83.531693;2.169420;
83.550385;2.166609;
83.569115;2.167810;
83.587814;2.169548;
83.606514;2.168414;
83.625229;2.165807;
83.643936;2.164091;
83.662636;2.165335;
